file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio,
ec2_network_in_257a54.csv,46319370947032.57,1,69,0,3560,lstmWeight=0.9;cnnWeight=0.1;lstmCells=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.0525,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.102852656373;,1,1438,4032,0.35700000000000004,
ec2_network_in_5abac7.csv,18991653851634.223,0,792,2,3464,lstmWeight=0.1;cnnWeight=0.9;lstmCells=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=40;training_ratio=0.0525,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.102855867916;,2,2491,4730,0.527,
elb_request_count_8c0756.csv,20264.289702,0,0,2,3630,lstmWeight=0.05;cnnWeight=0.5;lstmCells=6;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=160;training_ratio=0.0525,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.102852656373;,2,684,4032,0.17,
grok_asg_anomaly.csv,78.301895,3,388,0,3768,lstmWeight=0.9;cnnWeight=0.1;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.0525,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.102991550582;,3,1178,4621,0.255,
iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,23374405884583.035,2,12,0,1105,lstmWeight=0.008;cnnWeight=0.02;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.0525,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.102716468591;,2,219,1243,0.17600000000000002,
rds_cpu_utilization_cc0c53.csv,4.502004,2,115,0,3515,lstmWeight=0.5;cnnWeight=0.3;lstmCells=15;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.0525,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.102852656373;,2,2981,4032,0.7390000000000001,
rds_cpu_utilization_e47b3b.csv,749.613698,1,1338,1,2292,lstmWeight=0.3;cnnWeight=0.8;lstmCells=15;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.0525,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.102852656373;,2,847,4032,0.21,
exchange-2_cpc_results.csv,0.009168,0,0,1,1461,lstmWeight=0.1;cnnWeight=0.9;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=40;CNNDL2units=20;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.0525,comparision_window_size=8;threshold_max_multipler=2;training_ratio=0.102664067576;,1,245,1624,0.151,
exchange-2_cpm_results.csv,0.0165,0,0,2,1462,lstmWeight=0.9;cnnWeight=0.1;lstmCells=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=12;sequance_length=20;training_ratio=0.0525,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.102664067576;,2,566,1624,0.349,
exchange-3_cpc_results.csv,0.005968,2,0,1,1385,lstmWeight=0.4;cnnWeight=0.1;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=40;CNNDL2units=20;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.0525,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.102880658436;,3,272,1538,0.177,
